bit,metric,errorrate
1,1,0.02259600000000001
1,2,0.00003874999999999999
1,3,0.00003474999999999999
1,4,0.000033749999999999994
1,5,0.000035249999999999996
1,6,0.00003225
1,7,0.000033
1,8,0.00003225
1,9,0.0000325
1,10,0.0000325
1,11,0.00003225
1,12,0.00003225
1,13,0.00003175
1,14,0.00003225
1,15,0.000032
1,16,0.00003225
1,17,0.000032
1,18,0.00003225
1,19,0.000032
1,20,0.00003225
1,21,0.000032
1,22,0.00003225
1,23,0.000032
1,24,0.00003225
1,25,0.000032
1,26,0.00003225
1,27,0.000032
1,28,0.00003225
1,29,0.000032
1,30,0.00003225
1,31,0.000032
1,32,0.00003225
1,33,0.000032
1,34,0.00003225
1,35,0.000032
1,36,0.00003225
1,37,0.000032
1,38,0.00003225
1,39,0.000032
1,40,0.00003225
1,41,0.000032
1,42,0.00003225
1,43,0.000032
1,44,0.00003225
1,45,0.000032
1,46,0.00003225
1,47,0.000032
1,48,0.00003225
1,49,0.000032
1,50,0.00003225
1,51,0.000032
1,52,0.00003225
1,53,0.000032
1,54,0.00003225
1,55,0.000032
1,56,0.00003225
1,57,0.000032
1,58,0.00003225
1,59,0.000032
1,60,0.00003225
1,61,0.000032
1,62,0.00003225
1,63,0.000032
1,64,0.00003225
1,65,0.00003225
1,66,0.00003225
1,67,0.00003225
1,68,0.00003225
1,69,0.00003225
1,70,0.00003225
1,71,0.00003225
1,72,0.00003225
1,73,0.00003225
1,74,0.00003225
1,75,0.00003225
1,76,0.00003225
1,77,0.00003225
1,78,0.00003225
1,79,0.00003225
1,80,0.00003225
1,81,0.00003225
1,82,0.00003225
1,83,0.00003225
1,84,0.00003225
1,85,0.00003225
1,86,0.00003225
1,87,0.00003225
1,88,0.00003225
1,89,0.00003225
1,90,0.00003225
1,91,0.00003225
1,92,0.00003225
1,93,0.00003225
1,94,0.00003225
1,95,0.00003225
1,96,0.00003225
1,97,0.00003225
1,98,0.00003225
1,99,0.00003225
2,1,0.041989374999999995
2,2,0.002616750000000001
2,3,0.0008856250000000003
2,4,0.0005761249999999999
2,5,0.0004288750000000002
2,6,0.0004042500000000001
2,7,0.0003548750000000001
2,8,0.00031837500000000003
2,9,0.00029500000000000007
2,10,0.000303125
2,11,0.00025025000000000004
2,12,0.00030662500000000004
2,13,0.00026499999999999994
2,14,0.0002445000000000001
2,15,0.00026712500000000006
2,16,0.0002661250000000001
2,17,0.00026762500000000007
2,18,0.00026950000000000005
2,19,0.00025037500000000005
2,20,0.00026012500000000005
2,21,0.0002578750000000001
2,22,0.00024275000000000002
2,23,0.00025299999999999997
2,24,0.00026250000000000004
2,25,0.0002477500000000001
2,26,0.0002545
2,27,0.0002488750000000001
2,28,0.00025237500000000005
2,29,0.00024437500000000007
2,30,0.00025062500000000003
2,31,0.00024975
2,32,0.00025537500000000007
2,33,0.0002471250000000001
2,34,0.00024787500000000005
2,35,0.00025125000000000006
2,36,0.0002550000000000001
2,37,0.00023750000000000014
2,38,0.00024675000000000006
2,39,0.00024375000000000012
2,40,0.0002531250000000001
2,41,0.000259875
2,42,0.00024462500000000016
2,43,0.0002517500000000001
2,44,0.00024312500000000004
2,45,0.0002458750000000001
2,46,0.00024600000000000007
2,47,0.00024825
2,48,0.0002508750000000001
2,49,0.00023225000000000006
2,50,0.00024375000000000004
2,51,0.0002547500000000001
2,52,0.0002456250000000001
2,53,0.00024337500000000007
2,54,0.0002483750000000001
2,55,0.00024237500000000008
2,56,0.0002517500000000001
2,57,0.0002411250000000001
2,58,0.00024762500000000007
2,59,0.0002530000000000001
2,60,0.00025087500000000007
2,61,0.00025487500000000006
2,62,0.0002463750000000001
2,63,0.00024825000000000004
2,64,0.00025450000000000006
2,65,0.00024687500000000013
2,66,0.0002513750000000001
2,67,0.00025212500000000007
2,68,0.00024450000000000003
2,69,0.0002508750000000001
2,70,0.00024862500000000015
2,71,0.00023975000000000003
2,72,0.0002475
2,73,0.00024950000000000016
2,74,0.00024525
2,75,0.00025150000000000004
2,76,0.00024837500000000006
2,77,0.00024350000000000004
2,78,0.00024287500000000012
2,79,0.0002497500000000001
2,80,0.00024975000000000013
2,81,0.00024425000000000006
2,82,0.0002523750000000001
2,83,0.00024337500000000007
2,84,0.00024724999999999997
2,85,0.00024912500000000005
2,86,0.0002490000000000001
2,87,0.00024562500000000013
2,88,0.00024475
2,89,0.00024687500000000013
2,90,0.00025037500000000005
2,91,0.00024900000000000004
2,92,0.000246
2,93,0.00024775000000000003
2,94,0.0002486250000000002
2,95,0.00024637500000000007
2,96,0.00024862500000000015
2,97,0.0002447500000000001
2,98,0.00024200000000000003
2,99,0.00025225000000000014
3,1,0.07289716666666667
3,2,0.028519666666666662
3,3,0.021512250000000007
3,4,0.01969633333333333
3,5,0.01866441666666667
3,6,0.018197333333333333
3,7,0.017739333333333333
3,8,0.017767166666666664
3,9,0.017483499999999996
3,10,0.017535666666666665
3,11,0.017352499999999996
3,12,0.01726733333333333
3,13,0.017325250000000004
3,14,0.01722975
3,15,0.017271416666666668
3,16,0.017294749999999998
3,17,0.01719941666666667
3,18,0.017189916666666662
3,19,0.017229416666666667
3,20,0.017182666666666666
3,21,0.01716741666666666
3,22,0.017186166666666673
3,23,0.017176083333333335
3,24,0.017115833333333334
3,25,0.017169416666666663
3,26,0.01714758333333333
3,27,0.01716441666666666
3,28,0.017121666666666664
3,29,0.017168999999999997
3,30,0.01716975
3,31,0.017138166666666666
3,32,0.017163916666666668
3,33,0.017159916666666667
3,34,0.017154583333333334
3,35,0.017127166666666666
3,36,0.017135249999999994
3,37,0.017103749999999994
3,38,0.017164583333333334
3,39,0.017136166666666668
3,40,0.017140666666666665
3,41,0.017150333333333326
3,42,0.01709458333333333
3,43,0.01713333333333332
3,44,0.01713316666666667
3,45,0.017138499999999997
3,46,0.017125333333333333
3,47,0.01714166666666667
3,48,0.017138333333333325
3,49,0.017156249999999998
3,50,0.017131416666666666
3,51,0.017157333333333337
3,52,0.0171265
3,53,0.017150166666666675
3,54,0.01714741666666667
3,55,0.017144250000000007
3,56,0.01708016666666666
3,57,0.017161000000000006
3,58,0.01711891666666667
3,59,0.017103833333333332
3,60,0.017122083333333333
3,61,0.017119666666666672
3,62,0.017117749999999998
3,63,0.017141083333333335
3,64,0.017122166666666664
3,65,0.017138083333333335
3,66,0.017125500000000002
3,67,0.01714491666666667
3,68,0.017109333333333338
3,69,0.01711725
3,70,0.017107333333333336
3,71,0.01708983333333334
3,72,0.017116083333333334
3,73,0.017129750000000003
3,74,0.017124166666666666
3,75,0.01711283333333333
3,76,0.01713033333333333
3,77,0.017115250000000002
3,78,0.017117749999999994
3,79,0.017134749999999997
3,80,0.01712741666666667
3,81,0.01711691666666667
3,82,0.01711483333333333
3,83,0.017129833333333334
3,84,0.017095333333333337
3,85,0.0171175
3,86,0.017102749999999996
3,87,0.01711541666666667
3,88,0.017141250000000004
3,89,0.017109583333333327
3,90,0.017140666666666665
3,91,0.01713216666666667
3,92,0.01711958333333333
3,93,0.017117499999999997
3,94,0.017106500000000004
3,95,0.017127749999999997
3,96,0.017135
3,97,0.017115166666666667
3,98,0.01713375
3,99,0.017109583333333327
4,1,0.12045725000000002
4,2,0.093231625
4,3,0.08852106249999998
4,4,0.0866010625
4,5,0.0860646875
4,6,0.08524806250000001
4,7,0.08522762499999997
4,8,0.0849346875
4,9,0.0850596875
4,10,0.08484331249999999
4,11,0.08482575
4,12,0.08472662500000001
4,13,0.08477887499999999
4,14,0.08465531250000001
4,15,0.08477056250000001
4,16,0.0846435
4,17,0.08465650000000004
4,18,0.08471793749999998
4,19,0.08467574999999998
4,20,0.08455287500000003
4,21,0.084713875
4,22,0.08470131250000003
4,23,0.08454987500000001
4,24,0.08459468750000002
4,25,0.08470356250000002
4,26,0.08453581249999999
4,27,0.08461493749999999
4,28,0.08459375000000004
4,29,0.08461243749999997
4,30,0.08455799999999998
4,31,0.08457218749999999
4,32,0.08457881249999998
4,33,0.08459124999999998
4,34,0.08457875000000001
4,35,0.084605
4,36,0.08455168749999999
4,37,0.08459968749999999
4,38,0.08458231249999998
4,39,0.08458593750000003
4,40,0.08453724999999998
4,41,0.08462125000000001
4,42,0.08457224999999999
4,43,0.08461475000000002
4,44,0.08461712500000002
4,45,0.0846054375
4,46,0.0845629375
4,47,0.08456925
4,48,0.08454793749999999
4,49,0.08458543749999999
4,50,0.08459718750000002
4,51,0.08459425000000001
4,52,0.08456781250000002
4,53,0.08459362500000003
4,54,0.0845576875
4,55,0.08457225000000002
4,56,0.08458112499999998
4,57,0.084584375
4,58,0.08457075
4,59,0.08459050000000001
4,60,0.08456643750000004
4,61,0.084593375
4,62,0.08459406249999998
4,63,0.0846066875
4,64,0.0845618125
4,65,0.08457887499999998
4,66,0.084591
4,67,0.08458749999999998
4,68,0.08457112500000001
4,69,0.08457312499999999
4,70,0.08454300000000003
4,71,0.08456843750000001
4,72,0.08455924999999999
4,73,0.08454575000000002
4,74,0.08457237500000002
4,75,0.08455300000000002
4,76,0.084568625
4,77,0.08459775
4,78,0.084559875
4,79,0.08459875
4,80,0.08455662499999997
4,81,0.0845688125
4,82,0.08456781249999999
4,83,0.08460362500000002
4,84,0.08455924999999999
4,85,0.0845759375
4,86,0.0845815
4,87,0.08457431249999998
4,88,0.08458906249999998
4,89,0.08455350000000003
4,90,0.08455137500000001
4,91,0.08454968750000001
4,92,0.08456293749999996
4,93,0.08456437499999998
4,94,0.08455949999999995
4,95,0.08456593750000002
4,96,0.084568625
4,97,0.08457525
4,98,0.08455268750000001
4,99,0.08459362499999999
5,1,0.17299400000000006
5,2,0.16294260000000002
5,3,0.16070414999999996
5,4,0.16024075
5,5,0.15974805000000003
5,6,0.1596806
5,7,0.159572
5,8,0.15956455000000003
5,9,0.15955735000000004
5,10,0.15939630000000005
5,11,0.15948715
5,12,0.1594429
5,13,0.15948930000000003
5,14,0.15940245
5,15,0.15942545
5,16,0.15943035000000003
5,17,0.15943195
5,18,0.15941695
5,19,0.15935485000000005
5,20,0.15936085000000003
5,21,0.15939625
5,22,0.1593917
5,23,0.15934465000000006
5,24,0.1593522
5,25,0.15935109999999997
5,26,0.15935435000000006
5,27,0.15938320000000006
5,28,0.15935584999999997
5,29,0.15940785000000002
5,30,0.15934355000000006
5,31,0.15941804999999995
5,32,0.15940509999999997
5,33,0.15940665000000004
5,34,0.15936865000000003
5,35,0.1593885
5,36,0.1594017
5,37,0.15937665
5,38,0.15938915
5,39,0.15939135000000001
5,40,0.15936675
5,41,0.15939499999999998
5,42,0.1593903
5,43,0.15941374999999997
5,44,0.15938585
5,45,0.15938334999999998
5,46,0.15936995000000004
5,47,0.15934915
5,48,0.15937544999999997
5,49,0.15936484999999995
5,50,0.1593429
5,51,0.1593832
5,52,0.1593639
5,53,0.15942969999999998
5,54,0.1593787
5,55,0.1593434
5,56,0.1593763
5,57,0.15938005
5,58,0.1593893
5,59,0.15937180000000004
5,60,0.15936755
5,61,0.15936845
5,62,0.15938180000000002
5,63,0.15935759999999996
5,64,0.1593767
5,65,0.1593851
5,66,0.159376
5,67,0.15935785000000002
5,68,0.15937745000000003
5,69,0.1593822
5,70,0.15936485
5,71,0.15937465
5,72,0.15934364999999998
5,73,0.15937230000000002
5,74,0.1593732
5,75,0.15935605
5,76,0.15937029999999994
5,77,0.15938345
5,78,0.15936994999999998
5,79,0.15935125
5,80,0.15937400000000004
5,81,0.15937210000000002
5,82,0.15934815
5,83,0.15937440000000003
5,84,0.15934375
5,85,0.15936259999999994
5,86,0.15936105
5,87,0.15936569999999997
5,88,0.15935744999999998
5,89,0.15936325
5,90,0.15936909999999999
5,91,0.15935990000000003
5,92,0.15934799999999996
5,93,0.15937560000000006
5,94,0.15936705000000007
5,95,0.1593523
5,96,0.15936495000000003
5,97,0.15936080000000005
5,98,0.15935844999999996
5,99,0.15935665
6,1,0.21719204166666667
6,2,0.21316466666666667
6,3,0.21220579166666675
6,4,0.2122509583333333
6,5,0.21199387500000003
6,6,0.2118705833333333
6,7,0.21181841666666673
6,8,0.21191158333333335
6,9,0.21182775000000004
6,10,0.21187495833333336
6,11,0.21187054166666666
6,12,0.21177237499999996
6,13,0.2117740833333334
6,14,0.21182983333333336
6,15,0.2118435833333333
6,16,0.21181470833333332
6,17,0.2118184583333333
6,18,0.211787125
6,19,0.21178695833333336
6,20,0.21183070833333337
6,21,0.2118001666666668
6,22,0.21181920833333326
6,23,0.21180795833333338
6,24,0.21178312500000002
6,25,0.21180474999999999
6,26,0.2117849583333333
6,27,0.21180733333333335
6,28,0.211826375
6,29,0.21181849999999997
6,30,0.2118103333333333
6,31,0.21175004166666667
6,32,0.2117722916666667
6,33,0.21179091666666672
6,34,0.21178891666666672
6,35,0.21180345833333336
6,36,0.21178850000000002
6,37,0.211798875
6,38,0.21183141666666663
6,39,0.21179662499999996
6,40,0.21180904166666664
6,41,0.21178049999999995
6,42,0.21179720833333335
6,43,0.21181037500000002
6,44,0.21178583333333342
6,45,0.2117893333333333
6,46,0.21176045833333337
6,47,0.21180125
6,48,0.21177708333333328
6,49,0.21177379166666668
6,50,0.21177195833333332
6,51,0.21181154166666666
6,52,0.21178070833333332
