bit,metric,errorrate
1,1,0.0230475
1,2,0.000042749999999999996
1,3,0.0000365
1,4,0.000030249999999999993
1,5,0.000025749999999999996
1,6,0.000019500000000000003
1,7,0.000016
1,8,0.000012500000000000002
1,9,0.00001225
1,10,0.000010500000000000001
1,11,0.000010249999999999998
1,12,0.000009749999999999998
1,13,0.000009999999999999997
1,14,0.000009749999999999998
1,15,0.000009999999999999997
1,16,0.000009999999999999997
1,17,0.000010249999999999998
1,18,0.000009499999999999997
1,19,0.000009749999999999998
1,20,0.000009499999999999997
1,21,0.000009749999999999998
1,22,0.000009499999999999997
1,23,0.000009499999999999999
1,24,0.000009499999999999997
1,25,0.000009499999999999999
1,26,0.000009499999999999997
1,27,0.000009499999999999999
1,28,0.000009499999999999997
1,29,0.000009499999999999999
1,30,0.000009499999999999997
1,31,0.00000925
1,32,0.000009499999999999997
1,33,0.00000925
1,34,0.000009499999999999997
1,35,0.00000925
1,36,0.000009499999999999997
1,37,0.00000925
1,38,0.000009499999999999997
1,39,0.00000925
1,40,0.000009499999999999997
1,41,0.00000925
1,42,0.000009499999999999997
1,43,0.000009499999999999997
1,44,0.000009499999999999997
1,45,0.000009499999999999997
1,46,0.000009499999999999997
1,47,0.000009499999999999997
1,48,0.000009499999999999997
1,49,0.000009499999999999997
1,50,0.000009499999999999997
1,51,0.000009499999999999997
1,52,0.000009499999999999997
1,53,0.000009499999999999997
1,54,0.000009499999999999997
1,55,0.000009749999999999998
1,56,0.000009499999999999997
1,57,0.000009749999999999998
1,58,0.000009499999999999997
1,59,0.000009749999999999998
1,60,0.000009499999999999997
1,61,0.000009749999999999998
1,62,0.000009499999999999997
1,63,0.000009749999999999998
1,64,0.000009499999999999997
1,65,0.000009749999999999998
1,66,0.000009499999999999997
1,67,0.000009749999999999998
1,68,0.000009499999999999997
1,69,0.000009749999999999998
1,70,0.000009499999999999997
1,71,0.000009749999999999998
1,72,0.000009499999999999997
1,73,0.000009749999999999998
1,74,0.000009499999999999997
1,75,0.000009749999999999998
1,76,0.000009499999999999997
1,77,0.000009749999999999998
1,78,0.000009499999999999997
1,79,0.000009749999999999998
1,80,0.000009499999999999997
1,81,0.000009749999999999998
1,82,0.000009499999999999997
1,83,0.000009749999999999998
1,84,0.000009499999999999997
1,85,0.000009749999999999998
1,86,0.000009499999999999997
1,87,0.000009749999999999998
1,88,0.000009499999999999997
1,89,0.000009749999999999998
1,90,0.000009499999999999997
1,91,0.000009749999999999998
1,92,0.000009499999999999997
1,93,0.000009749999999999998
1,94,0.000009499999999999997
1,95,0.000009749999999999998
1,96,0.000009499999999999997
1,97,0.000009749999999999998
1,98,0.000009499999999999997
1,99,0.000009749999999999998
2,1,0.042186999999999995
2,2,0.0023402499999999994
2,3,0.00083675
2,4,0.00048412499999999975
2,5,0.000367875
2,6,0.0003088749999999999
2,7,0.00026250000000000004
2,8,0.00027600000000000004
2,9,0.00024512499999999995
2,10,0.00020487499999999995
2,11,0.00023187499999999998
2,12,0.00023675
2,13,0.00020912500000000008
2,14,0.0002215
2,15,0.000221625
2,16,0.00020400000000000003
2,17,0.00019762500000000002
2,18,0.00019587500000000003
2,19,0.0001850000000000001
2,20,0.00018762500000000002
2,21,0.00020599999999999994
2,22,0.00019600000000000007
2,23,0.00020225000000000004
2,24,0.0002093750000000001
2,25,0.00019974999999999995
2,26,0.0001945
2,27,0.0002005
2,28,0.00019950000000000002
2,29,0.00018737500000000001
2,30,0.00019174999999999994
2,31,0.00018987499999999997
2,32,0.00019549999999999998
2,33,0.00019575000000000007
2,34,0.00019362500000000006
2,35,0.00019324999999999998
2,36,0.00019125000000000004
2,37,0.00019375
2,38,0.00019175
2,39,0.00018837500000000007
2,40,0.00019000000000000004
2,41,0.00018675000000000004
2,42,0.00019487499999999998
2,43,0.00019312500000000005
2,44,0.00019050000000000005
2,45,0.000194625
2,46,0.000195875
2,47,0.00018737499999999993
2,48,0.00019275
2,49,0.00018850000000000003
2,50,0.00019275000000000005
2,51,0.000189
2,52,0.00019000000000000004
2,53,0.0001875
2,54,0.00019087500000000005
2,55,0.00019025000000000004
2,56,0.000193375
2,57,0.00018687500000000003
2,58,0.000193625
2,59,0.000196125
2,60,0.00019012499999999997
2,61,0.00019362500000000006
2,62,0.00019287499999999996
2,63,0.00019137499999999998
2,64,0.00018949999999999997
2,65,0.00019450000000000007
2,66,0.00019425000000000006
2,67,0.00019250000000000004
2,68,0.00019037499999999998
2,69,0.00019312500000000005
2,70,0.00019362500000000006
2,71,0.00019362499999999995
2,72,0.00019075000000000003
2,73,0.00019237500000000005
2,74,0.0001925
2,75,0.000192625
2,76,0.00019200000000000006
2,77,0.00019537500000000007
2,78,0.000192375
2,79,0.00019149999999999997
2,80,0.000192
2,81,0.000195
2,82,0.00018849999999999997
2,83,0.00019375000000000002
2,84,0.00019074999999999997
2,85,0.00019025
2,86,0.000193875
2,87,0.00018775
2,88,0.00019125000000000004
2,89,0.00019424999999999998
2,90,0.000193
2,91,0.00019250000000000004
2,92,0.00019199999999999998
2,93,0.00019375000000000002
2,94,0.00019000000000000004
2,95,0.000189
2,96,0.000194375
2,97,0.00018937500000000004
2,98,0.00018999999999999998
2,99,0.00019500000000000008
3,1,0.07235783333333333
3,2,0.02799399999999999
3,3,0.021210999999999997
3,4,0.01940108333333333
3,5,0.018415749999999998
3,6,0.017685750000000004
3,7,0.01745516666666666
3,8,0.017321833333333335
3,9,0.017138999999999995
3,10,0.017120916666666666
3,11,0.016876
3,12,0.0168575
3,13,0.016829666666666666
3,14,0.01684808333333334
3,15,0.016810750000000003
3,16,0.016838166666666664
3,17,0.016699166666666668
3,18,0.01666825
3,19,0.01672833333333333
3,20,0.016743333333333332
3,21,0.016668833333333334
3,22,0.016722166666666666
3,23,0.016607333333333335
3,24,0.01665483333333333
3,25,0.01673716666666666
3,26,0.01669516666666667
3,27,0.01673333333333334
3,28,0.016664999999999996
3,29,0.016714
3,30,0.016699750000000003
3,31,0.016643666666666664
3,32,0.01667441666666667
3,33,0.016648583333333335
3,34,0.016643250000000002
3,35,0.0166105
3,36,0.016630333333333327
3,37,0.016652583333333332
3,38,0.016656083333333332
3,39,0.01658674999999999
3,40,0.016649999999999995
3,41,0.01666216666666666
3,42,0.01663916666666667
3,43,0.016677333333333336
3,44,0.016621166666666666
3,45,0.016651249999999996
3,46,0.01661416666666667
3,47,0.016617166666666662
3,48,0.016635583333333336
3,49,0.01662808333333333
3,50,0.016673666666666663
3,51,0.01661975
3,52,0.016676916666666666
3,53,0.016662
3,54,0.016644999999999997
3,55,0.016608166666666667
3,56,0.01659775
3,57,0.016649
3,58,0.016626249999999995
3,59,0.016623750000000003
3,60,0.016632666666666667
3,61,0.016610083333333338
3,62,0.016640250000000002
3,63,0.01660725
3,64,0.016618333333333336
3,65,0.016646499999999998
3,66,0.016627083333333334
3,67,0.016626833333333337
3,68,0.016628166666666666
3,69,0.016619499999999995
3,70,0.016611916666666667
3,71,0.016619
3,72,0.016625833333333333
3,73,0.01663075
3,74,0.016609333333333334
3,75,0.01665241666666666
3,76,0.016617249999999993
3,77,0.016635416666666666
3,78,0.01662691666666667
3,79,0.016631999999999997
3,80,0.016633416666666668
3,81,0.016649583333333336
3,82,0.016627499999999996
3,83,0.016641083333333334
3,84,0.016642249999999997
3,85,0.016636083333333326
3,86,0.016653
3,87,0.01662391666666667
3,88,0.016611833333333336
3,89,0.01665641666666667
3,90,0.016640416666666668
3,91,0.016629999999999992
3,92,0.01662216666666667
3,93,0.01663325
3,94,0.016633333333333337
3,95,0.016649416666666667
3,96,0.01661658333333333
3,97,0.01663808333333333
3,98,0.016625333333333336
3,99,0.016626666666666665
4,1,0.11903624999999998
4,2,0.09322224999999998
4,3,0.08867493750000001
4,4,0.08619206249999996
4,5,0.08566281250000002
4,6,0.08550400000000001
4,7,0.08484712499999997
4,8,0.084746
