addends,bit,errorrate
10,1,0.009535377358490566
10,1,0.008385815602836879
10,1,0.00919622641509434
10,1,0.08432127659574468
10,1,0.017539644970414197
10,1,0.032097872340425534
10,1,0.06813018867924528
10,1,0.04439669421487603
10,2,0.02351202830188678
10,2,0.1777563829787234
10,2,0.02826382978723404
10,2,0.13207641509433962
10,2,0.04442028301886794
10,2,0.13363471074380162
10,2,0.07311597633136097
10,2,0.09987163120567376
10,3,0.32521276595744686
10,3,0.30247672955974847
10,3,0.27065785123966934
10,3,0.04749433962264149
10,3,0.07089078014184398
10,3,0.2283867612293145
10,3,0.10837672955974843
10,3,0.16295384615384623
10,4,0.3456265957446807
10,4,0.3411957547169812
10,4,0.2876169421487603
10,4,0.2851734042553191
10,4,0.2342420118343195
10,4,0.17155566037735856
10,4,0.12030514184397166
10,4,0.09365648584905661
