addends,bit,errorrate
10,1,0.010264
10,1,0.009449624060150376
10,1,0.011378999999999998
10,1,0.0730409090909091
10,1,0.01690375
10,1,0.06587799999999999
10,1,0.03493834586466166
10,1,0.042152631578947365
10,2,0.0223645
10,2,0.1444761363636364
10,2,0.03135864661654135
10,2,0.14051799999999998
10,2,0.05161449999999999
10,2,0.12179298245614037
10,2,0.084514375
10,2,0.0945781954887218
10,3,0.316119696969697
10,3,0.28357333333333334
10,3,0.26205497076023393
10,3,0.049242666666666664
10,3,0.07053984962406017
10,3,0.2036761904761905
10,3,0.10961433333333331
10,3,0.15677124999999997
10,4,0.3601829545454545
10,4,0.31831449999999994
10,4,0.3111026315789474
10,4,0.2794195488721804
10,4,0.22165875000000004
10,4,0.17890425000000001
10,4,0.13274003759398498
10,4,0.09169562499999998
